SDPA-GMP start at Mon May 26 13:39:28 2025
data      is input_sdpa.dat
parameter is ./param.sdpa
out       is output_sdpa2.dat
DENSE computation
   mu      thetaP  thetaD  objP      objD      alphaP  alphaD  beta 
75 4.9e-33 9.8e-100 4.6e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
76 1.5e-33 1.1e-99 7.6e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
77 4.4e-34 8.9e-100 1.4e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
78 1.3e-34 1.1e-99 2.1e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
79 4.0e-35 1.0e-99 4.1e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
80 1.2e-35 9.8e-100 5.1e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
81 3.6e-36 8.4e-100 5.7e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
82 1.1e-36 4.7e-100 1.1e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
83 3.2e-37 5.6e-100 1.1e-62 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
84 9.6e-38 4.1e-100 2.1e-62 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
85 2.9e-38 2.3e-100 2.1e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
86 8.7e-39 2.3e-100 5.0e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
87 2.6e-39 2.8e-100 3.0e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
88 7.8e-40 2.8e-100 1.2e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
89 2.3e-40 3.7e-100 5.2e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
90 7.0e-41 2.3e-100 2.2e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
91 2.1e-41 2.3e-100 4.2e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
92 6.3e-42 3.7e-100 5.3e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
93 1.9e-42 1.4e-100 1.5e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
94 5.7e-43 2.3e-100 1.6e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
95 1.7e-43 2.7e-100 8.0e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
96 5.1e-44 2.3e-100 7.0e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
97 1.5e-44 2.8e-100 8.4e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
98 4.6e-45 3.3e-100 1.3e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
99 1.4e-45 2.8e-100 4.1e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
